GAME_DATE,SEASON,TEAM_HOME,TEAM_AWAY,TARGET
2022-10-21,2022,7,6,0
2023-04-04,2022,8,6,1
2023-02-28,2022,8,6,0
2023-01-13,2022,9,6,0
2022-11-25,2022,9,6,0
2022-12-16,2022,10,6,1
2022-10-30,2022,10,6,1
2023-02-13,2022,11,6,0
2023-01-25,2022,12,6,1
2023-02-05,2022,13,6,1
2023-01-02,2022,13,6,1
2023-03-19,2022,14,6,0
2023-03-18,2022,15,6,1
2023-02-09,2022,16,6,1
2022-11-09,2022,17,6,0
2023-01-28,2022,18,6,1
2023-04-06,2022,19,6,1
2023-03-31,2022,19,6,1
2022-12-08,2022,20,6,0
2022-10-24,2022,20,6,1
2022-12-28,2022,21,6,1
2022-12-27,2022,21,6,0
2023-03-10,2022,22,6,1
2022-11-07,2022,22,6,0
2022-11-23,2022,23,6,0
2022-11-03,2022,23,6,0
2023-03-14,2022,24,6,1
2023-04-08,2022,25,6,1
2022-10-19,2022,25,6,1
2023-02-25,2022,26,6,1
